00:22:72|american micro-fuel device corp.
00:d0:ef|igt
08:61:95|rockwell automation
f4:bd:9e|cisco systems, inc
58:85:e9|realme chongqing mobiletelecommunications corp ltd
bc:23:92|byd precision manufacture company ltd.
40:55:82|nokia
a4:e3:1b|nokia
d8:97:90|commonwealth scientific and industrial research organisation
88:3a:30|aruba, a hewlett packard enterprise company
b8:a5:8d|axe group holdings limited
50:ce:e3|gigafirm.co.ltd
98:e7:43|dell inc.
c4:19:d1|telink semiconductor (shanghai) co., ltd.
88:7e:25|extreme networks, inc.
08:60:83|zte corporation
e0:19:54|zte corporation
10:32:7e|huawei device co., ltd.
f8:08:4f|sagemcom broadband sas
30:fb:b8|huawei technologies co.,ltd
f4:97:c2|nebulon inc
a4:45:19|xiaomi communications co ltd
68:db:f5|amazon technologies inc.
24:46:c8|motorola mobility llc, a lenovo company
18:02:ae|vivo mobile communication co., ltd.
0c:20:d3|vivo mobile communication co., ltd.
44:d7:91|huawei technologies co.,ltd
84:46:fe|huawei technologies co.,ltd
d8:29:18|huawei technologies co.,ltd
64:b2:1d|chengdu phycom tech co., ltd.
c4:29:96|signify b.v.
98:06:37|ieee registration authority
8c:b8:4a|samsung electro-mechanics(thailand)
98:e8:fa|nintendo co.,ltd
38:c4:e8|nss sp. z o.o.
34:dd:7e|umeox innovations co.,ltd
cc:cd:64|sm-electronic gmbh
24:df:a7|hangzhou broadlink technology co.,ltd
b0:65:f1|wio manufacturing hk limited
90:12:34|shenzhen youhua technology co., ltd
54:2a:1b|sonos, inc.
5c:92:5e|zioncom electronics (shenzhen) ltd.
08:4f:a9|cisco systems, inc
08:4f:f9|cisco systems, inc
50:98:b8|new h3c technologies co., ltd
11:00:aa|private
b8:4d:ee|hisense broadband multimedia technology co.,ltd
a8:93:52|shanghai zhongmi communication technology co.,ltd
e4:cc:9d|integrated device technology (malaysia) sdn. bhd.
a8:d0:e3|systech electronics ltd
98:ba:39|doro ab
d4:6b:a6|huawei technologies co.,ltd
cc:05:77|huawei technologies co.,ltd
30:8b:b2|cisco systems, inc
e0:eb:62|shanghai hulu devices co., ltd
08:68:8d|new h3c technologies co., ltd
e8:6f:38|chongqing fugui electronics co.,ltd.
48:21:6c|china mobile iot company limited
8c:be:24|tashang semiconductor(shanghai) co., ltd.
08:b3:af|vivo mobile communication co., ltd.
30:86:2d|arista network, inc.
6c:e8:c6|earda technologies co ltd
1c:41:76|china mobile group device co.,ltd.
60:8b:0e|apple, inc.
18:71:d5|hazens automotive electronics(sz)co.,ltd.
ac:b1:ee|shenzhen fenda technology co., ltd
f8:ad:cb|hmd global oy
d4:62:ea|huawei technologies co.,ltd
54:ba:d6|huawei technologies co.,ltd
94:dc:4e|aev, spol. s r. o.
14:42:fc|texas instruments
ac:5d:5c|fn-link technology limited
54:de:d0|sevio srl
6c:5e:3b|cisco systems, inc
